log_id,ride_id,driver_id,timestamp,decibels,sustained_seconds,audio_score,audio_level,is_flagged
7d74d461,89d2569f,b0777ba1,2026-03-09T18:56:50.794062700,48.6880,15.9074,0.2189,QUIET,false
85f8b32d,89d2569f,b0777ba1,2026-03-09T18:57:20.770497300,83.6988,11.8776,0.4474,CONVERSATIONAL,false
ed4f59e1,89d2569f,b0777ba1,2026-03-09T18:57:50.767239100,102.1420,16.7046,0.6098,ARGUMENT,true
63ed1a46,344c84a1,325e877c,2026-03-09T18:57:57.130013900,71.2660,1.1786,0.2931,CONVERSATIONAL,false
ddee60d6,89d2569f,b0777ba1,2026-03-09T18:58:20.773834900,44.1473,2.9707,0.1080,QUIET,false
88099e1b,89d2569f,b0777ba1,2026-03-09T18:58:50.779518600,65.8320,15.8471,0.3423,CONVERSATIONAL,false
e4e9af19,89d2569f,b0777ba1,2026-03-09T18:59:20.774413,78.5330,2.6181,0.3542,CONVERSATIONAL,false
4525582e,89d2569f,b0777ba1,2026-03-09T18:59:50.769180200,61.6436,19.7263,0.3355,CONVERSATIONAL,false
913724fe,89d2569f,b0777ba1,2026-03-09T19:00:20.767348,106.0736,3.3111,0.5573,ARGUMENT,true
816edf25,89d2569f,b0777ba1,2026-03-09T19:00:50.769974900,66.3496,17.4603,0.3558,CONVERSATIONAL,false
321f3a5d,89d2569f,b0777ba1,2026-03-09T19:01:20.777913800,84.3701,12.4298,0.4556,CONVERSATIONAL,false
ac08b551,89d2569f,b0777ba1,2026-03-09T19:01:50.778234900,80.3835,7.7632,0.3987,CONVERSATIONAL,false
d6a6d224,89d2569f,b0777ba1,2026-03-09T19:02:20.767556900,66.3805,5.3951,0.2832,CONVERSATIONAL,false
22e2bb84,89d2569f,b0777ba1,2026-03-09T19:02:50.780925200,79.3455,10.5518,0.4080,CONVERSATIONAL,false
7516e6cc,89d2569f,b0777ba1,2026-03-09T19:03:20.769225600,106.3862,18.5909,0.6518,ARGUMENT,true
00d07f9f,89d2569f,b0777ba1,2026-03-09T19:03:50.766793500,86.3967,19.4525,0.5126,ARGUMENT,true
60ab37cd,89d2569f,b0777ba1,2026-03-09T19:04:20.782517100,76.0262,16.3513,0.4190,CONVERSATIONAL,false
523a0473,89d2569f,b0777ba1,2026-03-09T19:04:50.773633200,98.6775,16.5013,0.5835,ARGUMENT,true
0bebaf8f,89d2569f,b0777ba1,2026-03-09T19:05:20.772076300,92.4324,7.0875,0.4816,CONVERSATIONAL,false
515328cf,89d2569f,b0777ba1,2026-03-09T19:05:50.774155100,101.9491,5.0907,0.5383,ARGUMENT,true
4fcf20ad,89d2569f,b0777ba1,2026-03-09T19:06:20.780618800,84.1000,4.3742,0.4050,CONVERSATIONAL,false
98ef85f2,89d2569f,b0777ba1,2026-03-09T19:06:50.772916,54.5012,18.4510,0.2762,CONVERSATIONAL,false
4ba0246f,89d2569f,b0777ba1,2026-03-09T19:07:20.775088,94.7008,12.7467,0.5321,ARGUMENT,true
870fcc41,89d2569f,b0777ba1,2026-03-09T19:07:50.766905600,56.0534,19.9548,0.2965,CONVERSATIONAL,false
a8089b0b,89d2569f,b0777ba1,2026-03-09T19:08:20.767889300,40.7055,18.1771,0.1749,QUIET,false
bdc932cb,89d2569f,b0777ba1,2026-03-09T19:08:50.777307800,48.0243,0.1868,0.1192,QUIET,false
9658c733,89d2569f,b0777ba1,2026-03-09T19:09:20.778023500,51.7204,19.5985,0.2631,CONVERSATIONAL,false
08e305c6,89d2569f,b0777ba1,2026-03-09T19:09:50.775817,45.4666,1.1343,0.1065,QUIET,false
4766eee8,89d2569f,b0777ba1,2026-03-09T19:10:20.773972400,77.0125,9.3823,0.3841,CONVERSATIONAL,false
